ID,Station Name,Total Docks,Latitude,Longitude
1.57111E+18,Plainfield & Irving Park,9,41.952037,-87.833283
1.56101E+18,Komensky Ave & 31st St,1,41.836708,-87.725641
1.58224E+18,Sacramento Ave & Pershing Rd,9,41.8222791,-87.6996576
1.57595E+18,Central Park & Augusta Blvd,9,41.8989108,-87.7164901
677,Stewart Ave & 83rd St,15,41.743717,-87.634088
1.58224E+18,Archer Ave & 43rd St,6,41.8154913,-87.7024412
1.59404E+18,Tripp Ave & 65th St,9,41.7749163,-87.728841
1.59404E+18,Komensky Ave & 55th St,9,41.793279,-87.724189
1.58224E+18,Artesian Ave & 55th St,12,41.7940135,-87.685807
1.67385E+18,Public Rack - California Ave & Touhy Ave - NW,1,42.012177,-87.699865
1.59404E+18,Hamlin Ave & 62nd Pl,12,41.779953,-87.7178221
1.58224E+18,St Louis Ave & 59th St,9,41.785987,-87.7105616
1.58224E+18,Kedzie Ave & 57th St,9,41.789944,-87.703233
1.59404E+18,Springfield Ave & 47th St,9,41.8080713,-87.7212202
1.59405E+18,California Ave & 29th St,9,41.840222,-87.694129
1.57595E+18,Central Park Ave & Ohio St,9,41.8918718,-87.7163879
1.57595E+18,Leamington Ave & Hirsch St,9,41.9058405,-87.7548602
1.59377E+18,Pulaski Rd & 60th St,9,41.784186,-87.722564
1.58224E+18,Campbell Ave & 51st St,9,41.8009585,-87.6867556
1.58224E+18,Fairfield Ave & 44th St,9,41.813617,-87.6932272
1.59377E+18,Pulaski Rd & 51st St,12,41.800434,-87.7247496
1.59404E+18,Pulaski & Ann Lurie Pl,9,41.8162761,-87.7246058
1.59377E+18,Kostner Ave & 63rd St,9,41.778747,-87.732463
1.59377E+18,Lavergne Ave & 46th St,9,41.80934,-87.7478312
1.59404E+18,Kenneth Ave & 50th St,6,41.8023156,-87.7344142
1.59377E+18,Kildare Ave & 55th St,9,41.793357,-87.730598
1.59377E+18,Lawler Ave & 50th St,9,41.802209,-87.7489007
327,Sheffield Ave & Webster Ave,19,41.92154,-87.653818
1.59405E+18,Troy St & Grace St,9,41.950244,-87.706489
1.58224E+18,Homan Ave & 65th St,9,41.775144,-87.708129
1.59405E+18,Albany Ave & Belmont Ave,9,41.939638,-87.705263
1.59405E+18,Western Ave & Gunnison St,9,41.969659,-87.68955
1.59405E+18,Lincoln Ave & Balmoral Ave,9,41.979461,-87.693013
1.59405E+18,Milwaukee Ave & Fullerton Ave,9,41.924691,-87.70055
1.59405E+18,Sacramento Blvd & Polk St,9,41.870959,-87.700259
1.59405E+18,Damen Ave & 33rd St,9,41.834108,-87.67559
1.57595E+18,Kilpatrick Ave & Grand Ave,9,41.9127779,-87.7436434
1.59405E+18,Francisco Ave & Hollywood Ave,9,41.984746,-87.701593
1.59405E+18,Francisco Ave & Montrose Ave,9,41.9610471,-87.700901
1.59405E+18,Lincoln Ave & Peterson Ave,9,41.990247,-87.70858
1.57111E+18,Shabbona Park,1,41.944847,-87.799326
1.67419E+18,Public Rack - Austin Ave & Roscoe St,5,41.942196,-87.776472
1.67419E+18,Public Rack - Austin Ave & Wrightwood Ave,1,41.927666,-87.775682
1.67419E+18,Public Rack - Austin Blvd & North Ave,1,41.909281,-87.775613
