geoid,state,county,tract,blockgrp,lat,lng,loc_id
1.70313E+14,17,31,252000,2,41.8805,-87.765,12438
1.70312E+14,17,31,150402,2,41.9532,-87.7744,12439
1.7031E+14,17,31,10201,3,42.0194,-87.6829,12440
1.70318E+14,17,31,832500,1,41.925,-87.6682,12441
1.70312E+14,17,31,243500,1,41.8899,-87.6556,12442
1.70312E+14,17,31,242300,2,41.8994,-87.6778,12443
1.70311E+14,17,31,81700,2,41.8917,-87.634,12444
1.70312E+14,17,31,241000,2,41.9083,-87.6968,12445
1.70313E+14,17,31,280900,1,41.8775,-87.6862,12446
1.70312E+14,17,31,220701,3,41.9251,-87.7233,12447
1.70316E+14,17,31,570300,2,41.802,-87.7242,12448
1.70313E+14,17,31,310600,1,41.858,-87.6574,12449
1.70316E+14,17,31,580501,3,41.8187,-87.6996,12450
1.70318E+14,17,31,841300,2,41.8519,-87.6846,12451
1.70311E+14,17,31,71100,1,41.9206,-87.6487,12452
1.70318E+14,17,31,840300,3,41.8305,-87.6778,12453
1.70318E+14,17,31,834500,1,41.7857,-87.6205,12454
1.70318E+14,17,31,842200,1,41.9038,-87.6434,12455
1.70312E+14,17,31,220500,2,41.9279,-87.7057,12456
1.70316E+14,17,31,600700,2,41.839,-87.6631,12457
1.70312E+14,17,31,220500,2,41.9279,-87.707,12458
1.7031E+14,17,31,30102,3,41.9933,-87.6568,12459
1.70311E+14,17,31,62900,2,41.9327,-87.6586,12460
1.70311E+14,17,31,100700,2,41.9739,-87.7929,12461
1.70315E+14,17,31,510300,3,41.7079,-87.5848,12462
1.70318E+14,17,31,840300,1,41.8339,-87.685,12463
1.70318E+14,17,31,842200,1,41.899,-87.6477,12464
1.70311E+14,17,31,100300,1,41.988,-87.7933,12465
1.70311E+14,17,31,70200,2,41.9256,-87.6441,12466
1.70317E+14,17,31,671400,1,41.7792,-87.6741,12467
1.70313E+14,17,31,300600,1,41.8514,-87.7185,12468
1.7031E+14,17,31,40700,1,41.9685,-87.6907,12469
1.70312E+14,17,31,240900,1,41.9029,-87.7021,12470
1.7031E+14,17,31,20500,4,41.9978,-87.6861,12471
1.70318E+14,17,31,833000,1,41.886,-87.6523,12472
1.70312E+14,17,31,190900,1,41.9244,-87.7438,12473
1.70311E+14,17,31,120200,1,42.0017,-87.767,12474
1.70318E+14,17,31,833100,2,41.8788,-87.6572,12475
1.70314E+14,17,31,440600,2,41.7327,-87.6194,12476
1.7031E+14,17,31,20802,3,41.9975,-87.6962,12477
1.70312E+14,17,31,160200,1,41.9619,-87.7313,12478
